transaction_type,account_id,amount,asset_id,asset_name,asset_symbol,asset_decimals,timestamp,hash
deposit,0x771c4150bc2bfe4df9632513c2948c2754911a4d,10.0,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-06-13 16:20:53,0x000355b4b45570b893082af01778c4dee91c65469e0863420581cadbd998bb6e
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.006000717355799021,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-12 08:24:25,0x000a83d834f33b59463a4aba41ce1e83c0766dc7590986669945fcb201d13e52
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.002500459938058503,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-12 06:46:57,0x000de8507c788d91684fe97659d642a774bf69eef28c7e0bf3353ff748a27a11
deposit,0x37801d13f75b00bd97e7183ea5a6d0329b29be63,0.08745112324005956,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-11 12:17:53,0x00096ab4606d91adbe1be06b27dd43e11a42965c7a73cba6c018146907efca19
deposit,0xdef31baf58f7f4d9a77cb4cff40b343f8ca822e9,3.0,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,USD Coin,USDC,6,2024-06-11 07:24:29,0x001bb2fd4bcbe070c17e272406f88680821a360b3f909e1cc1ac1fca7ad96976
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.00011698117908289,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-10 05:39:09,0x001bdbfc1037e7002dc96d99fe667a92590a4e17e11951e4d3cbab32d08b4a36
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.002169554153177658,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-09 02:20:37,0x00054a38081389903aaa64b734d780b20d4e1b2d7264ddece4b8482d98d4174e
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.5562842480510524,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-09 00:26:01,0x0006863c6cddb106e30c2df0ad24456c9e01509b50720bdcd48088811d3e7127
deposit,0x18c40c115f0f100d0334bf7ece80274bfb41b857,3.250203340497e-06,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-06 16:53:33,0x0010ffa3e39872fce17645e4b02e6d5ee008837740011ebfd095818902c18a67
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,1.6270001374020677,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-05 18:32:31,0x00246602fc54604381315a2f94c7e8c097d23794f6e07743e92561a0fff7df78
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.001000085177887002,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-05 14:14:57,0x000af4f506c7a0f5cdeedf06fdda1105a8a2c45fd67de00669f05982f8062808
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,3.6802769041091e-05,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-05 08:25:41,0x0018c0ebb1ba2e888ff9685e70092723541e2dfcabad3851367094a7fdd46fc0
deposit,0xef67a80d511e485883f343584ddc97c55a1c1147,0.001151821000768652,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-04 02:01:59,0x0015bbe536fa997fb8c278ce7053b8d0226abfb653f0bfc5f5b94bba80a45fe7
deposit,0xb33941984a22eda37fe45a8b63b97a6c0499f29d,0.08899926846712924,0x940181a94a35a4569e4529a3cdfb74e38fd98631,Aerodrome,AERO,18,2024-06-02 18:57:59,0x001934df43513a946bb4d8f3627d770516361d4f8a574088cafee17005a3833b
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.001658393553781028,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-06-02 09:09:27,0x0008c0fed3d9b4b369a15d48424005d0b51c952c36fea6caa67b818ea34337f4
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.4299990583561966,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-31 06:30:11,0x001e0bef8a45e50dd12020c227643c4e3021bebabba3d0ff88e8aa03a668b71f
deposit,0x0fa2b3fa5f2a3b8836e69c9db77fc6505d75c939,0.02241365593562054,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-30 19:40:51,0x000cfa7980417de14d83adf28241683ee30bc2a5f1f33929ec8f8940594004d6
deposit,0xa170994bf487e90e349fb703056efa60a61b94d4,0.16474335060092252,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-30 07:05:41,0x0005dde8750ff792d6bd57e761e4c6daf257c93897dd6cb893ec7b023e00bffc
deposit,0xc1ee91251b20f6605624a2c0ef0c37f2803f1670,0.345,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-29 06:47:53,0x0007aea09ec96121640d6a92012d09fbf95276f5f7199667cb2726de5b990fad
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.24140308206145122,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-28 21:04:59,0x00222952dfdfabf8c3e38bceb3918ad9f70c45539875a7c7ca79880c76e700d9
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.6320005953979208,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-28 17:36:59,0x0026bcb5adf2eab1521a0f40c1cfd90095cccf7efb4edd2d1fd1e38f5dcc5f33
deposit,0x4b43a9f05ef9f3545065423ee0a5c4c3ac5ee5c2,0.0011584,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-28 08:26:05,0x000f226a77e18ae28ad508ebda017d0dabe1d307764187df95bdd7267eb0f538
deposit,0x62d68dc31c267418585e1afd64f3c69918fa7bc5,0.02922,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-28 02:05:59,0x00055d4e34ecf2a5a2d56f2a814335d18182d710f323f770f7b09cc2e6b7ea0f
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.002910378687937693,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-26 07:19:41,0x00193253e1604e289e8f473ecab234ac3f74f83bac9a2e80a06befd5eff05b93
withdraw,0xaeeb3898ede6a6e86864688383e211132baa1af3,0.006001005727524967,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-25 15:44:21,0x002155320f16286590e280ebbb06632e2ef4d9f17c84eb50e4129af2741b0b35
deposit,0x4de159835e0b6c261599b6a3defc35159168f352,0.085,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-24 06:56:37,0x00145181db84e62441cc5a0543a63d4edfa09dfb8338d548e29e08b074163326
deposit,0x6959938d66b8750f0093f6094afd675041a57d05,0.9,0x4200000000000000000000000000000000000006,Wrapped Ether,WETH,18,2024-05-23 05:40:55,0x0009fc8f0d73f4a22753086ae3aee19d74da662fce09408740c5b395a7368f6d
